Complaint_ID,Complaint_Date,District,Ward,Area,Issue_Type,Department,Priority,Status,Assigned_Officer,Resolution_Date,Citizen_Rating,Latitude,Longitude,Remarks
CMP0044,2026-06-26,West,Ward-29,Santragachi,Water Leakage,Water Department,Medium,In Progress,Rohit Das,,,22.500056,88.416658,Inspection Pending
CMP0045,2026-02-09,Central,Ward-15,Park Street,Road Damage,Road Department,High,Open,Suresh Roy,,,22.480308,88.265166,Pending
CMP0046,2026-03-01,South,Ward-20,Garia,Illegal Dumping,Sanitation Department,High,Open,Pooja Sen,,,22.489101,88.428689,Work Completed
CMP0047,2026-05-10,North,Ward-12,Shyambazar,Garbage Overflow,Sanitation Department,Medium,Open,Neha Gupta,,,22.691918,88.489173,Work Completed
CMP0048,2026-05-05,East,Ward-29,Salt Lake,Illegal Dumping,Sanitation Department,Low,Resolved,Pooja Sen,2026-05-13,4.0,22.496714,88.306456,Repaired
CMP0049,2026-02-04,North,Ward-29,Shyambazar,Street Light Fault,Electricity Department,High,Open,Amit Singh,,,22.612905,88.462222,Repaired
CMP0050,2026-02-16,North,Ward-11,Dum Dum,Water Leakage,Water Department,Medium,Open,Priya Sharma,,,22.54097,88.454334,Material Awaited
CMP0051,2026-03-01,East,Ward-3,New Town,Road Damage,Road Department,Medium,In Progress,Suresh Roy,,,22.66023,88.254077,Repaired
CMP0052,2026-10-03,Central,Ward-16,Esplanade,Pothole,Road Department,Low,In Progress,Suresh Roy,,,22.653433,88.398061,Team Assigned
CMP0053,2026-04-13,Central,Ward-8,Park Street,Pothole,Road Department,Low,Resolved,Rajesh Kumar,2026-04-20,4.0,22.528857,88.377678,Team Assigned
CMP0054,2026-01-01,East,Ward-16,New Town,Garbage Overflow,Sanitation Department,Low,In Progress,Neha Gupta,,,22.629701,88.350918,Material Awaited
CMP0055,2026-06-19,North,Ward-18,Dum Dum,Drain Blockage,Sewer Department,High,Open,Anil Shaw,,,22.462871,88.320478,Inspection Pending
CMP0056,2026-06-04,South,Ward-15,Garia,Drain Blockage,Sewer Department,Low,Open,Vikram Das,,,22.630948,88.448878,Material Awaited
CMP0057,2026-04-20,West,Ward-12,Behala,Garbage Overflow,Sanitation Department,Low,Resolved,Pooja Sen,2026-04-23,5.0,22.479837,88.413625,Repaired
CMP0058,2026-01-18,South,Ward-14,Tollygunge,Garbage Overflow,Sanitation Department,High,Resolved,Neha Gupta,2026-01-23,3.0,22.622016,88.351243,Work Completed
CMP0059,2026-03-12,West,Ward-22,Santragachi,Park Maintenance,Parks Department,Low,Resolved,Sonia Ghosh,2026-03-18,4.0,22.539758,88.270935,Inspection Pending
CMP0060,2026-03-13,West,Ward-11,Santragachi,Drain Blockage,Sewer Department,High,Open,Anil Shaw,,,22.517121,88.324119,Repaired
CMP0061,2026-06-03,East,Ward-22,New Town,Road Damage,Road Department,High,Open,Rajesh Kumar,,,22.479017,88.498248,Team Assigned
CMP0062,2026-02-04,Central,Ward-10,Park Street,Drain Blockage,Sewer Department,High,In Progress,Vikram Das,,,22.504188,88.327087,Material Awaited
CMP0063,2026-05-09,East,Ward-28,New Town,Traffic Signal Fault,Traffic Department,High,Resolved,Rahul Sen,2026-05-17,4.0,22.625888,88.294463,Team Assigned
CMP0064,2026-06-23,East,Ward-8,Salt Lake,Road Damage,Road Department,Low,Resolved,Rajesh Kumar,2026-07-02,5.0,22.455099,88.340276,Material Awaited
CMP0065,2026-03-15,Central,Ward-13,Esplanade,Street Light Fault,Electricity Department,Medium,Open,Amit Singh,,,22.684832,88.356051,Team Assigned
CMP0066,2026-02-15,South,Ward-29,Tollygunge,Street Light Fault,Electricity Department,Low,In Progress,Karan Paul,,,22.504228,88.289438,Inspection Pending
CMP0067,2026-03-26,North,Ward-9,Dum Dum,Park Maintenance,Parks Department,High,In Progress,Arjun Roy,,,22.502476,88.37578,Work Completed
CMP0068,2026-05-30,East,Ward-19,Salt Lake,Park Maintenance,Parks Department,Medium,Open,Arjun Roy,,,22.508703,88.351773,Team Assigned
CMP0069,2026-03-14,West,Ward-9,Santragachi,Street Light Fault,Electricity Department,Medium,Open,Karan Paul,,,22.572508,88.392942,Repaired
CMP0070,2026-01-26,West,Ward-20,Santragachi,Water Leakage,Water Department,Medium,Open,Rohit Das,,,22.541122,88.421181,Work Completed
CMP0071,2026-02-16,Central,Ward-18,Esplanade,Drain Blockage,Sewer Department,High,Open,Anil Shaw,,,22.6919,88.313331,Material Awaited
CMP0072,2026-01-01,North,Ward-23,Dum Dum,Water Leakage,Water Department,Medium,In Progress,Rohit Das,,,22.633844,88.297699,Pending
CMP0073,2026-05-14,Central,Ward-21,Esplanade,Illegal Dumping,Sanitation Department,High,Open,Pooja Sen,,,22.598732,88.401546,Verified
CMP0074,2026-03-04,South,Ward-28,Tollygunge,Traffic Signal Fault,Traffic Department,Low,In Progress,Rahul Sen,,,22.491168,88.349485,Verified
CMP0075,2026-03-27,East,Ward-18,Salt Lake,Traffic Signal Fault,Traffic Department,High,Resolved,Rahul Sen,2026-04-04,4.0,22.637611,88.404454,Inspection Pending
CMP0076,2026-04-07,West,Ward-7,Behala,Park Maintenance,Parks Department,High,Resolved,Sonia Ghosh,2026-04-17,4.0,22.694598,88.472863,Pending
CMP0077,2026-05-21,Central,Ward-27,Park Street,Traffic Signal Fault,Traffic Department,Medium,In Progress,Deepak Bose,,,22.473129,88.351731,Verified
CMP0078,2026-06-01,East,Ward-18,New Town,Illegal Dumping,Sanitation Department,High,Resolved,Neha Gupta,2026-01-09,5.0,22.485907,88.308001,Pending
CMP0079,2026-04-17,North,Ward-18,Shyambazar,Drain Blockage,Sewer Department,High,Open,Vikram Das,,,22.559704,88.353583,Repaired
CMP0080,2026-02-02,North,Ward-28,Dum Dum,Water Leakage,Water Department,Low,Resolved,Priya Sharma,2026-12-02,5.0,22.450044,88.454738,Work Completed
CMP0081,2026-04-05,North,Ward-23,Dum Dum,Park Maintenance,Parks Department,Low,Open,Sonia Ghosh,,,22.686601,88.374449,Inspection Pending
CMP0082,2026-01-14,West,Ward-23,Behala,Illegal Dumping,Sanitation Department,Medium,In Progress,Neha Gupta,,,22.507107,88.330822,Verified
CMP0083,2026-06-06,West,Ward-7,Behala,Street Light Fault,Electricity Department,Low,In Progress,Amit Singh,,,22.468662,88.344396,Work Completed
CMP0084,2026-03-25,East,Ward-17,Salt Lake,Road Damage,Road Department,High,Resolved,Suresh Roy,2026-04-01,3.0,22.667604,88.27727,Material Awaited
CMP0085,2026-04-25,South,Ward-28,Tollygunge,Street Light Fault,Electricity Department,Low,Open,Karan Paul,,,22.564272,88.269379,Verified
CMP0086,2026-03-10,South,Ward-26,Garia,Sewer Problem,Sewer Department,Low,In Progress,Vikram Das,,,22.574365,88.47431,Team Assigned
CMP0087,2026-02-21,East,Ward-4,New Town,Illegal Dumping,Sanitation Department,Low,Open,Pooja Sen,,,22.48177,88.340003,Inspection Pending
CMP0088,2026-04-03,West,Ward-24,Behala,Traffic Signal Fault,Traffic Department,High,In Progress,Deepak Bose,,,22.625732,88.275478,Work Completed
CMP0089,2026-03-27,West,Ward-1,Santragachi,Pothole,Road Department,Low,Resolved,Rajesh Kumar,2026-03-31,3.0,22.578172,88.432529,Verified
CMP0090,2026-04-11,South,Ward-4,Garia,Drain Blockage,Sewer Department,Medium,Resolved,Vikram Das,2026-04-14,4.0,22.478794,88.349504,Pending
CMP0091,2026-03-18,North,Ward-16,Shyambazar,Traffic Signal Fault,Traffic Department,High,Resolved,Deepak Bose,2026-03-28,5.0,22.591803,88.284682,Work Completed
CMP0092,2026-02-17,West,Ward-3,Santragachi,Sewer Problem,Sewer Department,High,Open,Vikram Das,,,22.557852,88.379537,No Remarks
CMP0093,2026-03-25,South,Ward-4,Garia,Drain Blockage,Sewer Department,Medium,Resolved,Vikram Das,2026-03-28,5.0,22.591616,88.495164,Material Awaited
CMP0094,2026-05-14,West,Ward-28,Behala,Traffic Signal Fault,Traffic Department,Low,In Progress,Rahul Sen,,,22.530633,88.412285,Material Awaited
CMP0095,2026-01-22,North,Ward-26,Shyambazar,Park Maintenance,Parks Department,Medium,Resolved,Sonia Ghosh,2026-01-28,3.0,22.549733,88.476953,Material Awaited
CMP0096,2026-05-26,North,Ward-13,Shyambazar,Park Maintenance,Parks Department,High,Resolved,Sonia Ghosh,2026-05-29,3.0,22.601737,88.358596,Inspection Pending
CMP0097,2026-06-08,Central,Ward-25,Esplanade,Road Damage,Road Department,Medium,Open,Rajesh Kumar,,,22.638701,88.390002,Inspection Pending
CMP0098,2026-02-16,Central,Ward-10,Esplanade,Water Leakage,Water Department,High,Open,Priya Sharma,,,22.678755,88.331189,Verified
CMP0099,2026-05-21,East,Ward-17,New Town,Street Light Fault,Electricity Department,Medium,Resolved,Karan Paul,2026-05-26,3.0,22.607242,88.37252,Work Completed
CMP0100,2026-04-26,East,Ward-28,New Town,Pothole,Road Department,Low,Open,Rajesh Kumar,,,22.695319,88.453484,Work Completed
CMP0101,2026-01-06,South,Ward-25,Tollygunge,Garbage Overflow,Sanitation Department,Low,In Progress,Pooja Sen,,,22.518791,88.279704,Team Assigned
CMP0102,2026-03-23,South,Ward-20,Tollygunge,Street Light Fault,Electricity Department,High,Resolved,Karan Paul,2026-03-30,4.0,22.576369,88.296999,Team Assigned
CMP0103,2026-04-18,South,Ward-5,Garia,Sewer Problem,Sewer Department,Medium,Open,Anil Shaw,,,22.678988,88.404045,Repaired
CMP0104,2026-03-01,East,Ward-27,Salt Lake,Illegal Dumping,Sanitation Department,High,In Progress,Pooja Sen,,,22.546333,88.354594,Inspection Pending
CMP0105,2026-08-06,East,Ward-15,Salt Lake,Pothole,Road Department,High,Resolved,Suresh Roy,2026-09-06,3.0,22.667251,88.311529,Inspection Pending
CMP0106,2026-06-08,South,Ward-12,Tollygunge,Water Leakage,Water Department,Low,In Progress,Priya Sharma,,,22.639228,88.368797,Material Awaited
CMP0107,2026-02-01,South,Ward-12,Garia,Pothole,Road Department,High,Resolved,Rajesh Kumar,2026-01-06,5.0,22.491172,88.378214,Work Completed
CMP0108,2026-02-03,Central,Ward-27,Esplanade,Garbage Overflow,Sanitation Department,Medium,Resolved,Pooja Sen,2026-02-08,5.0,22.465543,88.395164,Inspection Pending
CMP0109,2026-04-29,North,Ward-18,Shyambazar,Park Maintenance,Parks Department,Medium,Open,Sonia Ghosh,,,22.674157,88.358703,Material Awaited
CMP0110,2026-05-10,West,Ward-27,Behala,Drain Blockage,Sewer Department,Medium,Resolved,Vikram Das,2026-05-17,5.0,22.464539,88.419954,Team Assigned
CMP0111,2026-05-04,West,Ward-5,Santragachi,Illegal Dumping,Sanitation Department,Medium,In Progress,Pooja Sen,,,22.484055,88.30103,Inspection Pending
CMP0112,2026-03-17,East,Ward-11,New Town,Road Damage,Road Department,High,Resolved,Suresh Roy,2026-03-22,3.0,22.603357,88.413296,Verified
CMP0113,2026-02-21,North,Ward-26,Shyambazar,Drain Blockage,Sewer Department,Medium,In Progress,Vikram Das,,,22.490508,88.326366,Material Awaited
CMP0114,2026-06-08,Central,Ward-7,Esplanade,Traffic Signal Fault,Traffic Department,High,Open,Deepak Bose,,,22.535966,88.304334,Verified
CMP0115,2026-07-04,South,Ward-4,Tollygunge,Pothole,Road Department,High,Open,Suresh Roy,,,22.486254,88.456323,Work Completed
CMP0116,2026-04-21,West,Ward-16,Behala,Illegal Dumping,Sanitation Department,High,In Progress,Neha Gupta,,,22.626096,88.276421,Inspection Pending
CMP0117,2026-12-04,Central,Ward-13,Esplanade,Park Maintenance,Parks Department,Medium,Open,Sonia Ghosh,,,22.684749,88.373555,Verified
CMP0118,2026-02-05,North,Ward-29,Shyambazar,Water Leakage,Water Department,High,In Progress,Priya Sharma,,,22.490999,88.38625,Inspection Pending
CMP0119,2026-01-13,North,Ward-26,Dum Dum,Water Leakage,Water Department,High,In Progress,Priya Sharma,,,22.657643,88.39257,Work Completed
CMP0120,2026-06-11,South,Ward-25,Tollygunge,Street Light Fault,Electricity Department,Medium,In Progress,Karan Paul,,,22.606299,88.468712,Material Awaited
CMP0121,2026-03-24,West,Ward-12,Behala,Sewer Problem,Sewer Department,Low,Open,Anil Shaw,,,22.63064,88.402401,Repaired
CMP0122,2026-01-30,West,Ward-13,Behala,Water Leakage,Water Department,High,In Progress,Priya Sharma,,,22.635016,88.467141,Work Completed
CMP0123,2026-01-15,West,Ward-1,Santragachi,Traffic Signal Fault,Traffic Department,High,Resolved,Rahul Sen,2026-01-20,4.0,22.467453,88.413402,Work Completed
CMP0124,2026-02-23,North,Ward-27,Dum Dum,Sewer Problem,Sewer Department,Medium,Open,Anil Shaw,,,22.683971,88.492152,Work Completed
CMP0125,2026-04-01,East,Ward-23,Salt Lake,Sewer Problem,Sewer Department,Low,Resolved,Anil Shaw,2026-01-12,3.0,22.60314,88.463508,Inspection Pending
CMP0126,2026-02-20,East,Ward-25,New Town,Road Damage,Road Department,Medium,In Progress,Rajesh Kumar,,,22.640541,88.392523,Work Completed
CMP0127,2026-05-18,South,Ward-16,Tollygunge,Garbage Overflow,Sanitation Department,Low,In Progress,Neha Gupta,,,22.535251,88.496761,Inspection Pending
CMP0128,2026-06-25,Central,Ward-2,Park Street,Park Maintenance,Parks Department,High,Resolved,Arjun Roy,2026-06-30,5.0,22.525401,88.308961,Team Assigned
CMP0129,2026-01-17,North,Ward-28,Shyambazar,Traffic Signal Fault,Traffic Department,High,In Progress,Rahul Sen,,,22.683053,88.386911,Verified
CMP0130,2026-01-24,West,Ward-26,Behala,Traffic Signal Fault,Traffic Department,High,Resolved,Rahul Sen,2026-02-01,3.0,22.568319,88.308277,Repaired
CMP0131,2026-05-07,East,Ward-21,Salt Lake,Water Leakage,Water Department,Medium,Open,Rohit Das,,,22.68577,88.448721,Pending
CMP0132,2026-05-16,East,Ward-12,New Town,Sewer Problem,Sewer Department,Medium,In Progress,Vikram Das,,,22.671095,88.411887,Inspection Pending
CMP0133,2026-06-20,South,Ward-23,Tollygunge,Garbage Overflow,Sanitation Department,High,Open,Pooja Sen,,,22.585132,88.47217,Team Assigned
CMP0134,2026-03-12,North,Ward-25,Shyambazar,Pothole,Road Department,Low,Open,Rajesh Kumar,,,22.554694,88.268785,Verified
CMP0135,2026-06-26,South,Ward-15,Garia,Illegal Dumping,Sanitation Department,High,Resolved,Neha Gupta,2026-06-30,4.0,22.587561,88.269014,Work Completed
CMP0136,2026-01-18,North,Ward-4,Shyambazar,Water Leakage,Water Department,Medium,Open,Rohit Das,,,22.525359,88.273108,Repaired
CMP0137,2026-03-10,South,Ward-8,Tollygunge,Street Light Fault,Electricity Department,High,Resolved,Amit Singh,2026-03-20,4.0,22.650613,88.313522,Team Assigned
CMP0138,2026-06-15,East,Ward-23,Salt Lake,Garbage Overflow,Sanitation Department,Low,Resolved,Pooja Sen,2026-06-19,4.0,22.473132,88.389448,Verified
CMP0139,2026-08-06,West,Ward-10,Santragachi,Illegal Dumping,Sanitation Department,Medium,Open,Pooja Sen,,,22.519651,88.252064,Team Assigned
CMP0140,2026-04-09,North,Ward-19,Dum Dum,Garbage Overflow,Sanitation Department,Medium,Open,Pooja Sen,,,22.685201,88.26397,Work Completed
CMP0141,2026-03-22,South,Ward-13,Tollygunge,Water Leakage,Water Department,High,Open,Rohit Das,,,22.691379,88.479065,Pending
CMP0142,2026-04-28,East,Ward-30,New Town,Illegal Dumping,Sanitation Department,High,In Progress,Pooja Sen,,,22.482367,88.394106,Repaired
CMP0143,2026-01-31,East,Ward-29,New Town,Park Maintenance,Parks Department,High,Open,Sonia Ghosh,,,22.458175,88.453474,Inspection Pending
CMP0144,2026-12-05,East,Ward-1,Salt Lake,Pothole,Road Department,Low,Resolved,Rajesh Kumar,2026-05-13,5.0,22.66047,88.447323,Team Assigned
CMP0145,2026-05-04,North,Ward-8,Shyambazar,Illegal Dumping,Sanitation Department,Medium,Open,Neha Gupta,,,22.477074,88.312589,Repaired
CMP0146,2026-05-27,West,Ward-26,Santragachi,Illegal Dumping,Sanitation Department,Medium,In Progress,Neha Gupta,,,22.543219,88.385722,Material Awaited
CMP0147,2026-05-13,East,Ward-30,New Town,Road Damage,Road Department,High,In Progress,Suresh Roy,,,22.683432,88.317831,Verified
CMP0148,2026-03-27,South,Ward-23,Garia,Traffic Signal Fault,Traffic Department,Medium,Open,Deepak Bose,,,22.462041,88.311854,Verified
CMP0149,2026-06-26,Central,Ward-20,Park Street,Water Leakage,Water Department,Medium,Resolved,Rohit Das,2026-06-30,5.0,22.567454,88.350983,Inspection Pending
CMP0150,2026-01-05,North,Ward-21,Dum Dum,Illegal Dumping,Sanitation Department,Medium,Open,Neha Gupta,,,22.500803,88.301886,Material Awaited
CMP0151,2026-04-07,West,Ward-11,Behala,Street Light Fault,Electricity Department,Medium,In Progress,Karan Paul,,,22.631635,88.455541,Team Assigned
CMP0152,2026-06-29,Central,Ward-20,Park Street,Illegal Dumping,Sanitation Department,High,Open,Pooja Sen,,,22.59097,88.490164,Work Completed
CMP0153,2026-05-25,South,Ward-22,Garia,Illegal Dumping,Sanitation Department,High,In Progress,Pooja Sen,,,22.594775,88.420917,Material Awaited
CMP0154,2026-01-31,East,Ward-14,New Town,Illegal Dumping,Sanitation Department,High,Resolved,Neha Gupta,2026-02-05,3.0,22.595001,88.481673,Inspection Pending
CMP0155,2026-01-17,North,Ward-24,Shyambazar,Garbage Overflow,Sanitation Department,Low,In Progress,Pooja Sen,,,22.652902,88.452661,Repaired
CMP0156,2026-05-30,West,Ward-6,Santragachi,Pothole,Road Department,High,Open,Rajesh Kumar,,,22.587344,88.492359,Inspection Pending
CMP0157,2026-01-17,West,Ward-21,Behala,Garbage Overflow,Sanitation Department,Medium,In Progress,Pooja Sen,,,22.501672,88.417037,Team Assigned
CMP0158,2026-06-06,West,Ward-13,Santragachi,Street Light Fault,Electricity Department,Medium,Open,Amit Singh,,,22.514463,88.254733,Work Completed
CMP0159,2026-04-22,West,Ward-2,Behala,Water Leakage,Water Department,High,Open,Priya Sharma,,,22.506476,88.275968,Team Assigned
CMP0160,2026-03-15,South,Ward-20,Garia,Drain Blockage,Sewer Department,Low,In Progress,Vikram Das,,,22.469996,88.482787,Material Awaited
CMP0161,2026-06-23,Central,Ward-27,Park Street,Illegal Dumping,Sanitation Department,High,Resolved,Pooja Sen,2026-06-24,5.0,22.586226,88.401994,Team Assigned
CMP0162,2026-06-10,North,Ward-24,Shyambazar,Illegal Dumping,Sanitation Department,High,Resolved,Neha Gupta,2026-06-19,3.0,22.569089,88.254876,Material Awaited
CMP0163,2026-02-26,South,Ward-30,Tollygunge,Park Maintenance,Parks Department,High,Resolved,Arjun Roy,2026-03-03,5.0,22.455945,88.378497,Pending
CMP0164,2026-09-04,East,Ward-24,New Town,Road Damage,Road Department,Medium,In Progress,Rajesh Kumar,,,22.674306,88.273006,Repaired
CMP0165,2026-07-02,West,Ward-5,Behala,Water Leakage,Water Department,Low,Resolved,Priya Sharma,2026-08-02,4.0,22.66414,88.374408,Verified
CMP0166,2026-01-10,Central,Ward-1,Esplanade,Road Damage,Road Department,High,Open,Suresh Roy,,,22.451885,88.499042,Verified
CMP0167,2026-02-01,East,Ward-10,New Town,Drain Blockage,Sewer Department,Medium,Resolved,Anil Shaw,2026-04-02,3.0,22.569654,88.283781,Inspection Pending
CMP0168,2026-05-16,South,Ward-27,Garia,Garbage Overflow,Sanitation Department,Low,Open,Neha Gupta,,,22.583575,88.284827,Pending
CMP0169,2026-04-14,West,Ward-27,Behala,Illegal Dumping,Sanitation Department,Medium,Open,Pooja Sen,,,22.519533,88.28452,Material Awaited
CMP0170,2026-06-08,West,Ward-17,Behala,Garbage Overflow,Sanitation Department,High,Resolved,Neha Gupta,2026-06-18,3.0,22.655509,88.328147,Inspection Pending
CMP0171,2026-03-17,Central,Ward-24,Esplanade,Pothole,Road Department,Low,Resolved,Rajesh Kumar,2026-03-27,4.0,22.46063,88.462547,Inspection Pending
CMP0172,2026-03-19,North,Ward-28,Shyambazar,Park Maintenance,Parks Department,High,In Progress,Arjun Roy,,,22.572639,88.411167,Team Assigned
CMP0173,2026-04-08,North,Ward-12,Shyambazar,Traffic Signal Fault,Traffic Department,Low,In Progress,Rahul Sen,,,22.649236,88.400058,Repaired
CMP0174,2026-05-17,Central,Ward-30,Park Street,Traffic Signal Fault,Traffic Department,Low,Resolved,Deepak Bose,2026-05-27,4.0,22.552222,88.397205,Repaired
CMP0175,2026-01-17,South,Ward-19,Garia,Street Light Fault,Electricity Department,Medium,Resolved,Karan Paul,2026-01-19,4.0,22.538044,88.357948,Material Awaited
CMP0176,2026-03-15,West,Ward-8,Santragachi,Drain Blockage,Sewer Department,High,Resolved,Anil Shaw,2026-03-24,4.0,22.696101,88.322778,Material Awaited
CMP0177,2026-06-22,South,Ward-11,Tollygunge,Road Damage,Road Department,High,In Progress,Suresh Roy,,,22.620626,88.470805,Pending
