Complaint_ID,Complaint_Date,District,Ward,Area,Issue_Type,Department,Priority,Status,Assigned_Officer,Resolution_Date,Citizen_Rating,Latitude,Longitude,Remarks,Month,Month_Num,Year,Weekday,Is_Weekend,Quarter,Day_of_Month,Resolution_Time_Days,Resolution_Category,SLA_Status,SLA_Breached_Flag,Complaint_Age_Days,Is_Resolved,Complaint_Severity_Score,Officer_Workload_Count,Area_Complaint_Density,Civic_Priority_Index
CMP0012,2026-01-07,West,Ward-19,Behala,Garbage Overflow,Sanitation Department,High,Open,Pooja Sen,,,22.680582,88.377925,Repaired,January,1,2026,Wednesday,0,Q1,7,,Pending,Pending,,333,No,3,106,121,40.6
CMP0013,2026-04-20,South,Ward-15,Tollygunge,Illegal Dumping,Sanitation Department,Medium,Resolved,Neha Gupta,2026-04-26,4.0,22.476662,88.304577,Material Awaited,April,4,2026,Monday,0,Q2,20,6.0,Medium,SLA Breached,1.0,230,Yes,2,121,109,32.1
CMP0014,2026-01-05,South,Ward-12,Garia,Water Leakage,Water Department,Low,Open,Rohit Das,,,22.51975,88.346679,Repaired,January,1,2026,Monday,0,Q1,5,,Pending,Pending,,335,No,1,46,98,14.6
CMP0015,2026-06-28,East,Ward-4,Salt Lake,Drain Blockage,Sewer Department,Medium,In Progress,Vikram Das,,,22.482119,88.361714,Inspection Pending,June,6,2026,Sunday,1,Q2,28,,Pending,Pending,,161,No,2,82,97,28.2
CMP0016,2026-01-16,Central,Ward-1,Park Street,Illegal Dumping,Sanitation Department,High,Resolved,Pooja Sen,2026-01-22,3.0,22.595772,88.407427,Work Completed,January,1,2026,Friday,0,Q1,16,6.0,Medium,SLA Breached,1.0,324,Yes,3,106,84,40.6
CMP0017,2026-01-14,East,Ward-25,New Town,Park Maintenance,Parks Department,Low,Resolved,Sonia Ghosh,2026-01-18,4.0,22.541323,88.496557,Work Completed,January,1,2026,Wednesday,0,Q1,14,4.0,Medium,SLA Breached,1.0,326,Yes,1,43,113,14.3
CMP0018,2026-05-30,Central,Ward-15,Park Street,Drain Blockage,Sewer Department,High,Resolved,Vikram Das,2026-06-08,3.0,22.610685,88.26418,Pending,May,5,2026,Saturday,1,Q2,30,9.0,Slow,SLA Breached,1.0,190,Yes,3,82,84,38.2
CMP0019,2026-05-10,Central,Ward-28,Park Street,Park Maintenance,Parks Department,Low,Open,Arjun Roy,,,22.512902,88.423442,Pending,May,5,2026,Sunday,1,Q2,10,,Pending,Pending,,210,No,1,45,84,14.5
CMP0020,2026-01-24,East,Ward-6,New Town,Street Light Fault,Electricity Department,Low,In Progress,Karan Paul,,,22.461403,88.443082,Verified,January,1,2026,Saturday,1,Q1,24,,Pending,Pending,,316,No,1,59,113,15.9
CMP0021,2026-01-13,Central,Ward-26,Park Street,Road Damage,Road Department,High,Open,Rajesh Kumar,,,22.608533,88.315482,Team Assigned,January,1,2026,Tuesday,0,Q1,13,,Pending,Pending,,327,No,3,103,84,40.3
CMP0022,2026-06-16,East,Ward-4,Salt Lake,Traffic Signal Fault,Traffic Department,Medium,In Progress,Rahul Sen,,,22.622776,88.335207,Repaired,June,6,2026,Tuesday,0,Q2,16,,Pending,Pending,,173,No,2,58,97,25.8
CMP0023,2026-04-15,North,Ward-8,Shyambazar,Drain Blockage,Sewer Department,High,Open,Anil Shaw,,,22.496802,88.493832,Inspection Pending,April,4,2026,Wednesday,0,Q2,15,,Pending,Pending,,235,No,3,112,108,41.2
CMP0024,2026-05-29,Central,Ward-27,Esplanade,Garbage Overflow,Sanitation Department,High,Resolved,Pooja Sen,2026-05-31,4.0,22.66027,88.434191,Work Completed,May,5,2026,Friday,0,Q2,29,2.0,Fast,Within SLA,0.0,191,Yes,3,106,87,40.6
CMP0025,2026-06-22,North,Ward-4,Dum Dum,Park Maintenance,Parks Department,Low,In Progress,Arjun Roy,,,22.454405,88.470711,Pending,June,6,2026,Monday,0,Q2,22,,Pending,Pending,,167,No,1,45,100,14.5
CMP0026,2026-06-01,South,Ward-15,Tollygunge,Drain Blockage,Sewer Department,High,Open,Vikram Das,,,22.685645,88.329814,Work Completed,June,6,2026,Monday,0,Q2,1,,Pending,Pending,,188,No,3,82,109,38.2
CMP0027,2026-06-13,West,Ward-22,Behala,Pothole,Road Department,Low,Open,Suresh Roy,,,22.529615,88.47903,Repaired,June,6,2026,Saturday,1,Q2,13,,Pending,Pending,,176,No,1,87,121,18.7
CMP0028,2026-04-05,South,Ward-1,Garia,Street Light Fault,Electricity Department,High,Resolved,Karan Paul,2026-05-08,3.0,22.615585,88.312398,Material Awaited,April,4,2026,Sunday,1,Q2,5,33.0,Slow,SLA Breached,1.0,245,Yes,3,59,98,35.9
CMP0029,2026-04-29,South,Ward-27,Tollygunge,Drain Blockage,Sewer Department,Medium,In Progress,Anil Shaw,,,22.54119,88.262413,Team Assigned,April,4,2026,Wednesday,0,Q2,29,,Pending,Pending,,221,No,2,112,109,31.2
CMP0030,2026-04-04,North,Ward-24,Shyambazar,Sewer Problem,Sewer Department,Medium,Open,Anil Shaw,,,22.632178,88.475518,Team Assigned,April,4,2026,Saturday,1,Q2,4,,Pending,Pending,,246,No,2,112,108,31.2
CMP0031,2026-03-10,Central,Ward-21,Park Street,Sewer Problem,Sewer Department,Low,Resolved,Vikram Das,2026-03-18,4.0,22.453689,88.30584,Pending,March,3,2026,Tuesday,0,Q1,10,8.0,Slow,SLA Breached,1.0,271,Yes,1,82,84,18.2
CMP0032,2026-02-28,West,Ward-8,Santragachi,Pothole,Road Department,High,In Progress,Rajesh Kumar,,,22.580584,88.455704,Team Assigned,February,2,2026,Saturday,1,Q1,28,,Pending,Pending,,281,No,3,103,83,40.3
CMP0033,2026-11-01,Central,Ward-6,Esplanade,Illegal Dumping,Sanitation Department,Medium,Open,Neha Gupta,,,22.667986,88.393366,Pending,November,11,2026,Sunday,1,Q4,1,,Pending,Pending,,35,No,2,121,87,32.1
CMP0034,2026-02-23,South,Ward-9,Tollygunge,Street Light Fault,Electricity Department,Medium,Open,Amit Singh,,,22.520902,88.470582,Verified,February,2,2026,Monday,0,Q1,23,,Pending,Pending,,286,No,2,44,109,24.4
CMP0035,2026-03-23,Central,Ward-9,Esplanade,Drain Blockage,Sewer Department,Medium,In Progress,Vikram Das,,,22.608422,88.284927,Work Completed,March,3,2026,Monday,0,Q1,23,,Pending,Pending,,258,No,2,82,87,28.2
CMP0036,2026-01-05,West,Ward-9,Behala,Water Leakage,Water Department,Low,In Progress,Rohit Das,,,22.509257,88.343421,Material Awaited,January,1,2026,Monday,0,Q1,5,,Pending,Pending,,335,No,1,46,121,14.6
CMP0037,2026-03-26,Central,Ward-30,Park Street,Park Maintenance,Parks Department,Low,In Progress,Arjun Roy,,,22.621263,88.450549,Pending,March,3,2026,Thursday,0,Q1,26,,Pending,Pending,,255,No,1,45,84,14.5
CMP0038,2026-06-05,South,Ward-30,Garia,Sewer Problem,Sewer Department,High,In Progress,Vikram Das,,,22.574408,88.465808,Work Completed,June,6,2026,Friday,0,Q2,5,,Pending,Pending,,184,No,3,82,98,38.2
CMP0039,2026-03-07,East,Ward-3,Salt Lake,Pothole,Road Department,Low,In Progress,Rajesh Kumar,,,22.634891,88.49317,Team Assigned,March,3,2026,Saturday,1,Q1,7,,Pending,Pending,,274,No,1,103,97,20.3
CMP0040,2026-05-26,West,Ward-24,Santragachi,Sewer Problem,Sewer Department,Medium,Open,Vikram Das,,,22.522113,88.334684,Inspection Pending,May,5,2026,Tuesday,0,Q2,26,,Pending,Pending,,194,No,2,82,83,28.2
CMP0041,2026-01-11,South,Ward-3,Tollygunge,Sewer Problem,Sewer Department,Medium,Open,Anil Shaw,,,22.56561,88.429241,Pending,January,1,2026,Sunday,1,Q1,11,,Pending,Pending,,329,No,2,112,109,31.2
CMP0042,2026-06-03,North,Ward-24,Shyambazar,Pothole,Road Department,Low,Resolved,Rajesh Kumar,2026-03-14,3.0,22.609428,88.271204,Inspection Pending,June,6,2026,Wednesday,0,Q2,3,,Pending,Pending,,186,Yes,1,103,108,20.3
CMP0043,2026-01-30,West,Ward-11,Santragachi,Road Damage,Road Department,Low,Open,Rajesh Kumar,,,22.546857,88.40419,Team Assigned,January,1,2026,Friday,0,Q1,30,,Pending,Pending,,310,No,1,103,83,20.3
CMP0044,2026-06-26,West,Ward-29,Santragachi,Water Leakage,Water Department,Medium,In Progress,Rohit Das,,,22.500056,88.416658,Inspection Pending,June,6,2026,Friday,0,Q2,26,,Pending,Pending,,163,No,2,46,83,24.6
CMP0045,2026-02-09,Central,Ward-15,Park Street,Road Damage,Road Department,High,Open,Suresh Roy,,,22.480308,88.265166,Pending,February,2,2026,Monday,0,Q1,9,,Pending,Pending,,300,No,3,87,84,38.7
CMP0046,2026-03-01,South,Ward-20,Garia,Illegal Dumping,Sanitation Department,High,Open,Pooja Sen,,,22.489101,88.428689,Work Completed,March,3,2026,Sunday,1,Q1,1,,Pending,Pending,,280,No,3,106,98,40.6
CMP0047,2026-05-10,North,Ward-12,Shyambazar,Garbage Overflow,Sanitation Department,Medium,Open,Neha Gupta,,,22.691918,88.489173,Work Completed,May,5,2026,Sunday,1,Q2,10,,Pending,Pending,,210,No,2,121,108,32.1
CMP0048,2026-05-05,East,Ward-29,Salt Lake,Illegal Dumping,Sanitation Department,Low,Resolved,Pooja Sen,2026-05-13,4.0,22.496714,88.306456,Repaired,May,5,2026,Tuesday,0,Q2,5,8.0,Slow,SLA Breached,1.0,215,Yes,1,106,97,20.6
CMP0049,2026-02-04,North,Ward-29,Shyambazar,Street Light Fault,Electricity Department,High,Open,Amit Singh,,,22.612905,88.462222,Repaired,February,2,2026,Wednesday,0,Q1,4,,Pending,Pending,,305,No,3,44,108,34.4
CMP0050,2026-02-16,North,Ward-11,Dum Dum,Water Leakage,Water Department,Medium,Open,Priya Sharma,,,22.54097,88.454334,Material Awaited,February,2,2026,Monday,0,Q1,16,,Pending,Pending,,293,No,2,44,100,24.4
CMP0051,2026-03-01,East,Ward-3,New Town,Road Damage,Road Department,Medium,In Progress,Suresh Roy,,,22.66023,88.254077,Repaired,March,3,2026,Sunday,1,Q1,1,,Pending,Pending,,280,No,2,87,113,28.7
CMP0052,2026-10-03,Central,Ward-16,Esplanade,Pothole,Road Department,Low,In Progress,Suresh Roy,,,22.653433,88.398061,Team Assigned,October,10,2026,Saturday,1,Q4,3,,Pending,Pending,,64,No,1,87,87,18.7
CMP0053,2026-04-13,Central,Ward-8,Park Street,Pothole,Road Department,Low,Resolved,Rajesh Kumar,2026-04-20,4.0,22.528857,88.377678,Team Assigned,April,4,2026,Monday,0,Q2,13,7.0,Medium,SLA Breached,1.0,237,Yes,1,103,84,20.3
CMP0054,2026-01-01,East,Ward-16,New Town,Garbage Overflow,Sanitation Department,Low,In Progress,Neha Gupta,,,22.629701,88.350918,Material Awaited,January,1,2026,Thursday,0,Q1,1,,Pending,Pending,,339,No,1,121,113,22.1
CMP0055,2026-06-19,North,Ward-18,Dum Dum,Drain Blockage,Sewer Department,High,Open,Anil Shaw,,,22.462871,88.320478,Inspection Pending,June,6,2026,Friday,0,Q2,19,,Pending,Pending,,170,No,3,112,100,41.2
CMP0056,2026-06-04,South,Ward-15,Garia,Drain Blockage,Sewer Department,Low,Open,Vikram Das,,,22.630948,88.448878,Material Awaited,June,6,2026,Thursday,0,Q2,4,,Pending,Pending,,185,No,1,82,98,18.2
CMP0057,2026-04-20,West,Ward-12,Behala,Garbage Overflow,Sanitation Department,Low,Resolved,Pooja Sen,2026-04-23,5.0,22.479837,88.413625,Repaired,April,4,2026,Monday,0,Q2,20,3.0,Fast,Within SLA,0.0,230,Yes,1,106,121,20.6
CMP0058,2026-01-18,South,Ward-14,Tollygunge,Garbage Overflow,Sanitation Department,High,Resolved,Neha Gupta,2026-01-23,3.0,22.622016,88.351243,Work Completed,January,1,2026,Sunday,1,Q1,18,5.0,Medium,SLA Breached,1.0,322,Yes,3,121,109,42.1
CMP0059,2026-03-12,West,Ward-22,Santragachi,Park Maintenance,Parks Department,Low,Resolved,Sonia Ghosh,2026-03-18,4.0,22.539758,88.270935,Inspection Pending,March,3,2026,Thursday,0,Q1,12,6.0,Medium,SLA Breached,1.0,269,Yes,1,43,83,14.3
CMP0060,2026-03-13,West,Ward-11,Santragachi,Drain Blockage,Sewer Department,High,Open,Anil Shaw,,,22.517121,88.324119,Repaired,March,3,2026,Friday,0,Q1,13,,Pending,Pending,,268,No,3,112,83,41.2
CMP0061,2026-06-03,East,Ward-22,New Town,Road Damage,Road Department,High,Open,Rajesh Kumar,,,22.479017,88.498248,Team Assigned,June,6,2026,Wednesday,0,Q2,3,,Pending,Pending,,186,No,3,103,113,40.3
CMP0062,2026-02-04,Central,Ward-10,Park Street,Drain Blockage,Sewer Department,High,In Progress,Vikram Das,,,22.504188,88.327087,Material Awaited,February,2,2026,Wednesday,0,Q1,4,,Pending,Pending,,305,No,3,82,84,38.2
CMP0063,2026-05-09,East,Ward-28,New Town,Traffic Signal Fault,Traffic Department,High,Resolved,Rahul Sen,2026-05-17,4.0,22.625888,88.294463,Team Assigned,May,5,2026,Saturday,1,Q2,9,8.0,Slow,SLA Breached,1.0,211,Yes,3,58,113,35.8
CMP0064,2026-06-23,East,Ward-8,Salt Lake,Road Damage,Road Department,Low,Resolved,Rajesh Kumar,2026-07-02,5.0,22.455099,88.340276,Material Awaited,June,6,2026,Tuesday,0,Q2,23,9.0,Slow,SLA Breached,1.0,166,Yes,1,103,97,20.3
CMP0065,2026-03-15,Central,Ward-13,Esplanade,Street Light Fault,Electricity Department,Medium,Open,Amit Singh,,,22.684832,88.356051,Team Assigned,March,3,2026,Sunday,1,Q1,15,,Pending,Pending,,266,No,2,44,87,24.4
CMP0066,2026-02-15,South,Ward-29,Tollygunge,Street Light Fault,Electricity Department,Low,In Progress,Karan Paul,,,22.504228,88.289438,Inspection Pending,February,2,2026,Sunday,1,Q1,15,,Pending,Pending,,294,No,1,59,109,15.9
CMP0067,2026-03-26,North,Ward-9,Dum Dum,Park Maintenance,Parks Department,High,In Progress,Arjun Roy,,,22.502476,88.37578,Work Completed,March,3,2026,Thursday,0,Q1,26,,Pending,Pending,,255,No,3,45,100,34.5
CMP0068,2026-05-30,East,Ward-19,Salt Lake,Park Maintenance,Parks Department,Medium,Open,Arjun Roy,,,22.508703,88.351773,Team Assigned,May,5,2026,Saturday,1,Q2,30,,Pending,Pending,,190,No,2,45,97,24.5
CMP0069,2026-03-14,West,Ward-9,Santragachi,Street Light Fault,Electricity Department,Medium,Open,Karan Paul,,,22.572508,88.392942,Repaired,March,3,2026,Saturday,1,Q1,14,,Pending,Pending,,267,No,2,59,83,25.9
CMP0070,2026-01-26,West,Ward-20,Santragachi,Water Leakage,Water Department,Medium,Open,Rohit Das,,,22.541122,88.421181,Work Completed,January,1,2026,Monday,0,Q1,26,,Pending,Pending,,314,No,2,46,83,24.6
CMP0071,2026-02-16,Central,Ward-18,Esplanade,Drain Blockage,Sewer Department,High,Open,Anil Shaw,,,22.6919,88.313331,Material Awaited,February,2,2026,Monday,0,Q1,16,,Pending,Pending,,293,No,3,112,87,41.2
CMP0072,2026-01-01,North,Ward-23,Dum Dum,Water Leakage,Water Department,Medium,In Progress,Rohit Das,,,22.633844,88.297699,Pending,January,1,2026,Thursday,0,Q1,1,,Pending,Pending,,339,No,2,46,100,24.6
CMP0073,2026-05-14,Central,Ward-21,Esplanade,Illegal Dumping,Sanitation Department,High,Open,Pooja Sen,,,22.598732,88.401546,Verified,May,5,2026,Thursday,0,Q2,14,,Pending,Pending,,206,No,3,106,87,40.6
CMP0074,2026-03-04,South,Ward-28,Tollygunge,Traffic Signal Fault,Traffic Department,Low,In Progress,Rahul Sen,,,22.491168,88.349485,Verified,March,3,2026,Wednesday,0,Q1,4,,Pending,Pending,,277,No,1,58,109,15.8
CMP0075,2026-03-27,East,Ward-18,Salt Lake,Traffic Signal Fault,Traffic Department,High,Resolved,Rahul Sen,2026-04-04,4.0,22.637611,88.404454,Inspection Pending,March,3,2026,Friday,0,Q1,27,8.0,Slow,SLA Breached,1.0,254,Yes,3,58,97,35.8
CMP0076,2026-04-07,West,Ward-7,Behala,Park Maintenance,Parks Department,High,Resolved,Sonia Ghosh,2026-04-17,4.0,22.694598,88.472863,Pending,April,4,2026,Tuesday,0,Q2,7,10.0,Slow,SLA Breached,1.0,243,Yes,3,43,121,34.3
CMP0077,2026-05-21,Central,Ward-27,Park Street,Traffic Signal Fault,Traffic Department,Medium,In Progress,Deepak Bose,,,22.473129,88.351731,Verified,May,5,2026,Thursday,0,Q2,21,,Pending,Pending,,199,No,2,50,84,25.0
CMP0078,2026-06-01,East,Ward-18,New Town,Illegal Dumping,Sanitation Department,High,Resolved,Neha Gupta,2026-01-09,5.0,22.485907,88.308001,Pending,June,6,2026,Monday,0,Q2,1,,Pending,Pending,,188,Yes,3,121,113,42.1
CMP0079,2026-04-17,North,Ward-18,Shyambazar,Drain Blockage,Sewer Department,High,Open,Vikram Das,,,22.559704,88.353583,Repaired,April,4,2026,Friday,0,Q2,17,,Pending,Pending,,233,No,3,82,108,38.2
CMP0080,2026-02-02,North,Ward-28,Dum Dum,Water Leakage,Water Department,Low,Resolved,Priya Sharma,2026-12-02,5.0,22.450044,88.454738,Work Completed,February,2,2026,Monday,0,Q1,2,303.0,Slow,SLA Breached,1.0,307,Yes,1,44,100,14.4
CMP0081,2026-04-05,North,Ward-23,Dum Dum,Park Maintenance,Parks Department,Low,Open,Sonia Ghosh,,,22.686601,88.374449,Inspection Pending,April,4,2026,Sunday,1,Q2,5,,Pending,Pending,,245,No,1,43,100,14.3
CMP0082,2026-01-14,West,Ward-23,Behala,Illegal Dumping,Sanitation Department,Medium,In Progress,Neha Gupta,,,22.507107,88.330822,Verified,January,1,2026,Wednesday,0,Q1,14,,Pending,Pending,,326,No,2,121,121,32.1
CMP0083,2026-06-06,West,Ward-7,Behala,Street Light Fault,Electricity Department,Low,In Progress,Amit Singh,,,22.468662,88.344396,Work Completed,June,6,2026,Saturday,1,Q2,6,,Pending,Pending,,183,No,1,44,121,14.4
CMP0084,2026-03-25,East,Ward-17,Salt Lake,Road Damage,Road Department,High,Resolved,Suresh Roy,2026-04-01,3.0,22.667604,88.27727,Material Awaited,March,3,2026,Wednesday,0,Q1,25,7.0,Medium,SLA Breached,1.0,256,Yes,3,87,97,38.7
CMP0085,2026-04-25,South,Ward-28,Tollygunge,Street Light Fault,Electricity Department,Low,Open,Karan Paul,,,22.564272,88.269379,Verified,April,4,2026,Saturday,1,Q2,25,,Pending,Pending,,225,No,1,59,109,15.9
CMP0086,2026-03-10,South,Ward-26,Garia,Sewer Problem,Sewer Department,Low,In Progress,Vikram Das,,,22.574365,88.47431,Team Assigned,March,3,2026,Tuesday,0,Q1,10,,Pending,Pending,,271,No,1,82,98,18.2
CMP0087,2026-02-21,East,Ward-4,New Town,Illegal Dumping,Sanitation Department,Low,Open,Pooja Sen,,,22.48177,88.340003,Inspection Pending,February,2,2026,Saturday,1,Q1,21,,Pending,Pending,,288,No,1,106,113,20.6
CMP0088,2026-04-03,West,Ward-24,Behala,Traffic Signal Fault,Traffic Department,High,In Progress,Deepak Bose,,,22.625732,88.275478,Work Completed,April,4,2026,Friday,0,Q2,3,,Pending,Pending,,247,No,3,50,121,35.0
CMP0089,2026-03-27,West,Ward-1,Santragachi,Pothole,Road Department,Low,Resolved,Rajesh Kumar,2026-03-31,3.0,22.578172,88.432529,Verified,March,3,2026,Friday,0,Q1,27,4.0,Medium,SLA Breached,1.0,254,Yes,1,103,83,20.3
CMP0090,2026-04-11,South,Ward-4,Garia,Drain Blockage,Sewer Department,Medium,Resolved,Vikram Das,2026-04-14,4.0,22.478794,88.349504,Pending,April,4,2026,Saturday,1,Q2,11,3.0,Fast,Within SLA,0.0,239,Yes,2,82,98,28.2
CMP0091,2026-03-18,North,Ward-16,Shyambazar,Traffic Signal Fault,Traffic Department,High,Resolved,Deepak Bose,2026-03-28,5.0,22.591803,88.284682,Work Completed,March,3,2026,Wednesday,0,Q1,18,10.0,Slow,SLA Breached,1.0,263,Yes,3,50,108,35.0
CMP0092,2026-02-17,West,Ward-3,Santragachi,Sewer Problem,Sewer Department,High,Open,Vikram Das,,,22.557852,88.379537,No Remarks,February,2,2026,Tuesday,0,Q1,17,,Pending,Pending,,292,No,3,82,83,38.2
CMP0093,2026-03-25,South,Ward-4,Garia,Drain Blockage,Sewer Department,Medium,Resolved,Vikram Das,2026-03-28,5.0,22.591616,88.495164,Material Awaited,March,3,2026,Wednesday,0,Q1,25,3.0,Fast,Within SLA,0.0,256,Yes,2,82,98,28.2
CMP0094,2026-05-14,West,Ward-28,Behala,Traffic Signal Fault,Traffic Department,Low,In Progress,Rahul Sen,,,22.530633,88.412285,Material Awaited,May,5,2026,Thursday,0,Q2,14,,Pending,Pending,,206,No,1,58,121,15.8
CMP0095,2026-01-22,North,Ward-26,Shyambazar,Park Maintenance,Parks Department,Medium,Resolved,Sonia Ghosh,2026-01-28,3.0,22.549733,88.476953,Material Awaited,January,1,2026,Thursday,0,Q1,22,6.0,Medium,SLA Breached,1.0,318,Yes,2,43,108,24.3
CMP0096,2026-05-26,North,Ward-13,Shyambazar,Park Maintenance,Parks Department,High,Resolved,Sonia Ghosh,2026-05-29,3.0,22.601737,88.358596,Inspection Pending,May,5,2026,Tuesday,0,Q2,26,3.0,Fast,Within SLA,0.0,194,Yes,3,43,108,34.3
CMP0097,2026-06-08,Central,Ward-25,Esplanade,Road Damage,Road Department,Medium,Open,Rajesh Kumar,,,22.638701,88.390002,Inspection Pending,June,6,2026,Monday,0,Q2,8,,Pending,Pending,,181,No,2,103,87,30.3
CMP0098,2026-02-16,Central,Ward-10,Esplanade,Water Leakage,Water Department,High,Open,Priya Sharma,,,22.678755,88.331189,Verified,February,2,2026,Monday,0,Q1,16,,Pending,Pending,,293,No,3,44,87,34.4
CMP0099,2026-05-21,East,Ward-17,New Town,Street Light Fault,Electricity Department,Medium,Resolved,Karan Paul,2026-05-26,3.0,22.607242,88.37252,Work Completed,May,5,2026,Thursday,0,Q2,21,5.0,Medium,SLA Breached,1.0,199,Yes,2,59,113,25.9
CMP0100,2026-04-26,East,Ward-28,New Town,Pothole,Road Department,Low,Open,Rajesh Kumar,,,22.695319,88.453484,Work Completed,April,4,2026,Sunday,1,Q2,26,,Pending,Pending,,224,No,1,103,113,20.3
CMP0101,2026-01-06,South,Ward-25,Tollygunge,Garbage Overflow,Sanitation Department,Low,In Progress,Pooja Sen,,,22.518791,88.279704,Team Assigned,January,1,2026,Tuesday,0,Q1,6,,Pending,Pending,,334,No,1,106,109,20.6
CMP0102,2026-03-23,South,Ward-20,Tollygunge,Street Light Fault,Electricity Department,High,Resolved,Karan Paul,2026-03-30,4.0,22.576369,88.296999,Team Assigned,March,3,2026,Monday,0,Q1,23,7.0,Medium,SLA Breached,1.0,258,Yes,3,59,109,35.9
CMP0103,2026-04-18,South,Ward-5,Garia,Sewer Problem,Sewer Department,Medium,Open,Anil Shaw,,,22.678988,88.404045,Repaired,April,4,2026,Saturday,1,Q2,18,,Pending,Pending,,232,No,2,112,98,31.2
CMP0104,2026-03-01,East,Ward-27,Salt Lake,Illegal Dumping,Sanitation Department,High,In Progress,Pooja Sen,,,22.546333,88.354594,Inspection Pending,March,3,2026,Sunday,1,Q1,1,,Pending,Pending,,280,No,3,106,97,40.6
CMP0105,2026-08-06,East,Ward-15,Salt Lake,Pothole,Road Department,High,Resolved,Suresh Roy,2026-09-06,3.0,22.667251,88.311529,Inspection Pending,August,8,2026,Thursday,0,Q3,6,31.0,Slow,SLA Breached,1.0,122,Yes,3,87,97,38.7
CMP0106,2026-06-08,South,Ward-12,Tollygunge,Water Leakage,Water Department,Low,In Progress,Priya Sharma,,,22.639228,88.368797,Material Awaited,June,6,2026,Monday,0,Q2,8,,Pending,Pending,,181,No,1,44,109,14.4
CMP0107,2026-02-01,South,Ward-12,Garia,Pothole,Road Department,High,Resolved,Rajesh Kumar,2026-01-06,5.0,22.491172,88.378214,Work Completed,February,2,2026,Sunday,1,Q1,1,,Pending,Pending,,308,Yes,3,103,98,40.3
CMP0108,2026-02-03,Central,Ward-27,Esplanade,Garbage Overflow,Sanitation Department,Medium,Resolved,Pooja Sen,2026-02-08,5.0,22.465543,88.395164,Inspection Pending,February,2,2026,Tuesday,0,Q1,3,5.0,Medium,SLA Breached,1.0,306,Yes,2,106,87,30.6
